호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
3,홍제역,28857,11505,8376,2281,9,5,23,132,35,1,0,13,0,0
3,고속터미널역,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
3,잠원역,28617,10585,9875,1756,7,3,19,126,18,1,1,10,0,0
3,교대역,21825,8320,6618,2253,0,10,158,197,30,0,0,35,0,0
3,남부터미널역,18848,7904,6545,5405,11,6,109,100,34,2,0,43,6,3
3,금호역,35246,14124,11942,1812,11,6,16,118,46,3,0,17,0,0
3,옥수역,35246,14124,11942,1812,10,3,10,48,32,1,0,5,0,0
3,가락시장역,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1
3,경찰병원역,29683,10382,8703,1691,0,7,51,103,28,2,0,25,0,1
3,오금역,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
3,연신내역,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1
3,녹번역,18899,7499,6025,823,6,4,7,45,19,2,0,7,0,1
3,불광역,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
3,구파발역,12261,4261,4279,257,9,4,4,28,25,2,0,5,0,0
3,안국역,7003,3633,2930,9378,14,25,164,120,48,7,0,46,6,37
3,경복궁역,10491,4699,4158,7173,6,39,228,166,46,8,0,51,3,27
3,을지로3가역,7003,3633,2930,9378,0,25,560,258,64,10,0,105,14,10
3,동대입구역,15735,7211,5023,2716,15,5,24,70,18,1,1,23,2,3
3,약수역,30645,12924,10171,2522,13,7,22,105,26,2,1,20,1,3
3,충무로역,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,0
3,종로3가역,3995,2347,1782,15739,4,20,323,169,54,7,0,86,9,25
4,미아역,31354,13095,8241,2588,8,11,32,113,28,4,0,19,0,4
4,미아사거리역,26917,11698,6789,2907,14,10,25,129,42,4,3,21,1,2
4,사당역,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
4,노원역,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0
4,상계역,44273,17244,12960,2419,7,6,17,114,20,2,0,20,0,2
4,당고개역,23299,9372,7433,994,6,3,3,41,11,1,0,8,0,0
4,창동역,31842,11137,10889,1721,6,9,41,117,19,2,2,18,0,1
4,쌍문역,40154,16610,11460,2134,14,6,16,114,37,2,0,26,0,1
4,동작역,3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0
4,길음역,39753,15127,13287,2106,6,10,17,116,40,5,2,15,0,1
4,성신여대입구역,31939,14862,9632,3146,15,8,38,152,30,2,0,36,2,0
4,한성대입구역,26147,11631,7292,2097,14,7,16,100,44,2,0,26,23,7
4,숙대입구역,16371,8106,4583,2432,10,6,61,67,32,2,0,39,0,1
4,삼각지역,11084,5320,5031,4179,3,13,45,52,32,1,1,24,1,2
4,이촌역,20575,7575,7880,1142,9,10,34,62,25,2,0,15,0,2
4,신용산역,7538,3871,3565,4471,3,17,53,45,32,4,3,23,2,1
4,서울역,17824,8943,6175,3850,2,12,205,102,37,3,0,47,0,2
4,동대문역,5182,2664,2527,10994,0,16,96,171,45,8,0,46,4,2
4,혜화역,15785,7485,4863,2347,12,12,20,64,39,3,0,25,62,10
4,동대문역사문화공원역,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
4,명동역,5093,2455,1779,17360,11,19,463,201,45,8,5,72,11,2
4,충무로역,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,0
4,회현역,6827,3293,2318,14574,0,18,632,238,63,5,5,76,7,3
4,수유역(강북구청)역,33224,16069,9146,3956,3,9,135,159,37,3,0,51,1,0
4,총신대입구역,36068,14953,9818,3448,5,5,72,213,42,0,0,32,2,3
5,고덕역,22026,7048,6812,1438,16,5,14,84,28,3,1,10,1,1
5,상일동역,14337,5359,4280,625,10,2,6,48,23,0,0,5,1,2
5,굽은다리역,45252,17418,11263,2638,8,7,13,138,22,1,1,33,0,0
5,길동역,41431,17179,12599,3397,6,8,68,147,23,2,0,46,0,1
5,둔촌동역,37594,14107,10284,2823,8,3,26,103,20,0,0,26,0,1
5,강동역,43836,19724,13666,3502,2,5,92,123,21,1,0,41,1,1
5,명일역,39051,13832,10636,2160,13,8,17,144,28,3,0,21,0,0
5,천호역,34895,15964,8538,4201,0,7,69,184,26,2,3,33,1,1
5,김포공항역,16,5,7,601,1,10,5,2,63,4,2,7,1,0
5,송정역,21491,9994,5962,2267,7,13,14,63,92,5,2,24,1,2
5,발산역,15835,5607,5220,1692,9,4,32,74,49,1,1,15,0,2
5,우장산역,41564,14030,12281,1681,16,6,23,108,22,1,0,20,1,5
5,개화산역,22249,8802,7345,1738,10,8,10,80,49,4,2,19,1,3
5,방화역,25404,10156,9356,1233,12,6,9,79,27,2,0,12,0,3
5,까치산역,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2
5,화곡역,45413,19667,15471,2088,0,6,37,144,24,2,0,26,0,2
5,광나루역,21888,6955,6300,821,12,3,18,42,22,1,0,11,1,0
5,군자역,36479,17586,7533,2795,3,8,33,80,32,1,0,34,2,1
5,답십리역,33049,14250,8234,3369,5,6,40,88,29,2,0,18,0,1
5,마장역,23648,10071,7030,2637,10,8,12,40,31,2,1,14,1,0
5,장한평역,12254,4997,3892,3468,3,5,179,50,14,4,0,15,0,0
5,공덕역,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3
5,애오개역,33206,13699,12255,4396,12,8,35,81,35,2,0,12,3,1
5,마포역,29852,12007,11087,4123,8,8,117,123,37,2,0,30,0,1
5,서대문역,30231,11812,8957,1530,25,31,349,151,85,7,2,57,5,8
5,충정로역,23034,10154,8187,2897,17,16,113,78,48,7,1,28,1,1
5,신금호역,36701,14169,12341,1032,7,6,10,65,56,2,0,13,0,2
5,청구역,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
5,행당역,44588,16843,14179,1710,10,6,19,108,53,2,1,14,0,3
5,왕십리역,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
5,개롱역,29683,10382,8703,1691,14,5,10,92,33,1,0,10,0,1
5,오금역,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
5,거여역,34545,12953,9728,1633,8,5,6,110,29,2,0,15,0,1
5,마천역,35247,13915,8350,1864,2,8,9,98,17,4,0,14,0,0
5,방이역,29629,9926,8760,2117,16,7,24,82,25,2,0,23,0,2
5,올림픽공원역,16070,4629,4633,459,13,4,11,18,14,1,0,7,0,3
5,목동역,32234,12006,9364,2640,11,6,29,132,22,1,1,25,1,0
5,오목교역,32952,11213,10316,3435,8,2,74,129,24,0,4,30,2,2
5,신정역,33759,14094,9122,2551,8,3,10,100,20,0,0,23,0,1
5,영등포구청역,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2
5,영등포시장역,21487,11496,8581,6605,5,9,121,142,37,4,3,39,3,3
5,양평역,16991,7373,6338,3622,6,5,45,66,27,1,4,21,2,0
5,여의나루역,8752,3364,3444,6235,5,11,533,122,35,0,0,39,0,0
5,신길역,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0
5,광화문역,5182,2664,2527,10994,9,53,510,223,66,11,0,89,9,31
5,을지로4가역,4843,2798,1991,25600,0,11,207,113,48,6,0,56,3,0
5,종로3가역,3995,2347,1782,15739,4,20,323,169,54,7,0,86,9,25
5,동대문역사문화공원역,6827,3293,2318,14574,5,13,122,83,38,7,0,44,4,1
5,여의도역,8717,3370,3427,6959,4,13,599,145,37,1,1,46,2,1
6,석계역,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
6,안암역,17400,8442,3972,1492,25,2,11,45,23,0,0,36,0,0
6,공덕역,33206,13699,12255,4396,14,16,127,180,45,3,1,33,0,3
6,대흥역,29140,11725,8511,1880,31,8,16,45,32,2,0,21,1,0
6,망원역,34718,15755,11235,3066,6,4,23,122,32,1,0,37,0,0
6,합정역,19525,9115,6513,4544,3,5,73,79,27,4,1,51,9,1
6,디지털미디어시티역,21867,8344,6798,2117,4,10,27,79,40,2,2,34,3,2
6,광흥창역,30433,12468,9928,1464,12,7,13,64,43,3,0,22,1,1
6,상수역,18227,8789,6449,3934,8,5,25,55,36,3,0,43,10,3
6,마포구청역,29145,11913,10053,1927,7,7,7,63,26,1,1,22,2,2
6,월드컵경기장역,16040,6477,6070,1012,4,4,7,49,24,1,1,12,1,1
6,증산역,30231,11812,8957,1530,4,5,10,69,17,2,0,18,0,1
6,청구역,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
6,버티고개역,22451,9114,8316,1101,10,4,9,56,25,2,1,9,1,1
6,신당역,25334,11623,8296,15387,9,14,54,107,28,8,0,34,2,4
6,동묘앞역,44588,16843,14179,1710,12,14,99,114,34,6,1,44,3,3
6,보문역,31520,15065,8061,2312,19,11,25,88,26,4,0,27,0,0
6,창신역,32749,12991,9072,1298,20,5,10,48,22,1,0,12,0,2
6,돌곶이역,29781,12208,7130,2409,7,7,13,73,22,2,0,19,0,0
6,상월곡역,29781,12208,7130,2409,13,6,5,42,16,3,0,14,0,1
6,월곡역,26071,10198,7553,1551,13,4,9,80,20,1,1,14,0,1
6,효창공원앞역,29483,12185,9035,2923,11,8,14,94,51,3,0,25,0,1
6,삼각지역,11084,5320,5031,4179,3,13,45,52,32,1,1,24,1,2
6,녹사평역,7292,3461,2450,1557,2,6,27,24,28,0,0,13,0,2
6,이태원역,14946,7480,4735,2396,3,7,33,35,31,2,0,22,0,3
6,한강진역,5180,2623,2006,836,3,2,17,25,21,0,0,10,1,4
6,연신내역,35275,15280,10112,3065,11,5,59,165,37,1,0,33,2,1
6,구산역,42081,16534,12510,1982,11,2,16,104,30,0,0,21,0,1
6,역촌역,39590,16267,11809,2162,4,5,16,107,31,2,0,23,1,0
6,불광역,30854,13502,10240,2409,3,8,38,138,29,2,1,16,3,0
6,응암역,45366,18162,14453,2304,13,3,16,125,25,1,1,28,0,0
6,새절역,31517,12938,8847,1980,11,5,9,105,27,1,0,17,0,0
6,약수역,30645,12924,10171,2522,13,7,22,105,26,2,1,20,1,3
6,태릉입구역,29127,11829,8718,2061,5,7,19,99,37,3,1,23,0,0
7,논현역,22010,12152,6003,5001,2,2,68,238,21,0,0,45,3,2
7,학동역,17486,9133,5343,5216,5,6,73,123,17,1,0,46,1,2
7,강남구청역,23954,9726,7757,3902,6,6,73,171,17,1,0,40,1,2
7,청담역,18590,7112,6422,2361,5,3,51,110,22,1,0,27,0,1
7,숭실대입구역,32362,12553,9719,1012,15,4,7,44,23,2,0,15,0,0
7,군자역,36479,17586,7533,2795,3,8,33,80,32,1,0,34,2,1
7,건대입구역,33265,16623,6989,3106,18,3,29,107,20,0,2,38,3,2
7,뚝섬유원지역,23744,9007,6254,1053,7,6,5,52,8,4,0,11,0,2
7,중곡역,35467,14756,7251,2522,13,6,10,102,25,3,0,24,0,1
7,용마산역,33534,13836,8106,1763,7,7,12,71,13,3,0,18,1,1
7,어린이대공원역,22347,11953,5166,1701,33,8,11,46,18,4,0,37,3,2
7,가산디지털단지역,7497,4345,2439,11980,1,7,106,75,55,1,0,62,1,2
7,남구로역,39663,17537,14058,6784,9,5,69,163,27,2,0,39,0,4
7,대림역,31864,14728,10890,4628,9,10,79,138,29,3,0,31,0,2
7,온수역,16408,5932,5639,806,18,1,5,19,33,1,0,11,0,1
7,천왕역,17600,6221,5848,504,8,1,4,43,30,0,0,8,0,0
7,공릉역,37174,15373,11643,2136,12,3,18,110,41,2,0,29,0,0
7,노원역,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0
7,마들역,40159,14742,14719,813,16,3,9,122,24,0,1,8,0,0
7,수락산역,26951,10048,9125,1478,9,5,8,87,28,2,0,15,0,1
7,중계역,36744,14077,14107,1179,14,4,9,107,29,1,2,8,3,3
7,하계역,39618,13852,13439,1459,14,9,9,83,35,4,3,12,3,3
7,남성역,34673,14098,9552,1637,15,6,10,94,27,1,0,15,0,1
7,상도역,38391,16679,11764,1688,6,4,8,110,40,0,0,21,0,2
7,신대방삼거리역,34857,15257,9373,2181,6,6,18,139,39,3,0,27,0,0
7,장승배기역,37639,16271,10209,1810,11,7,14,115,38,1,0,21,0,2
7,보라매역,25959,11176,6422,2025,11,10,18,94,44,2,0,19,0,0
7,고속터미널역,22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
7,반포역,30756,11015,10115,3465,7,6,38,104,26,2,2,22,1,0
7,내방역,22145,7151,7022,3598,0,3,43,123,30,0,0,19,0,2
7,신풍역,29735,11964,7861,1510,8,5,9,77,34,1,0,12,0,1
7,면목역,38552,16828,8358,2657,5,2,16,83,17,1,0,18,0,1
7,상봉역,38583,16637,9965,2696,9,5,33,93,23,1,2,22,0,0
7,사가정역,41626,17730,9240,2864,9,10,15,102,22,4,1,25,1,0
7,먹골역,34070,13682,9132,1956,5,6,12,82,27,3,1,17,0,0
7,태릉입구역,29127,11829,8718,2061,5,7,19,99,37,3,1,23,0,0
7,중화역,33362,13889,7283,2430,9,7,16,80,29,4,0,16,0,0
7,도봉산역,16113,5719,5227,713,7,1,1,34,27,1,0,7,0,0
7,이수역,34872,15067,9208,4203,7,9,123,233,49,3,0,34,2,3
8,강동구청역,32474,12331,8723,2681,15,13,23,106,34,5,0,29,1,3
8,암사역,40589,16224,11257,2098,7,4,11,112,11,1,0,24,0,2
