,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
5,마천역,18976 ,7621 ,4211 ,1100 ,1 ,4 ,2 ,43 ,11 ,2 ,0 ,8 ,0 ,0 
5,방이역,15226 ,5251 ,4619 ,1248 ,3 ,4 ,15 ,48 ,7 ,2 ,0 ,12 ,0 ,0 
5,올림픽공원역,7881 ,2121 ,2123 ,443 ,11 ,4 ,9 ,18 ,13 ,1 ,0 ,7 ,0 ,3 
5,목동역,13245 ,4977 ,3846 ,1374 ,6 ,1 ,20 ,88 ,10 ,1 ,0 ,14 ,1 ,0 
5,오목교역,14428 ,4855 ,4486 ,2452 ,3 ,2 ,51 ,100 ,16 ,0 ,3 ,19 ,2 ,2 
5,신정역,19600 ,8248 ,5270 ,1102 ,3 ,1 ,3 ,40 ,7 ,0 ,0 ,12 ,0 ,0 
5,영등포구청역,13416 ,4608 ,4488 ,437 ,6 ,6 ,82 ,59 ,17 ,1 ,0 ,19 ,0 ,2 
5,영등포시장역,8317 ,4283 ,2664 ,2310 ,3 ,1 ,56 ,69 ,14 ,0 ,0 ,9 ,1 ,1 
5,양평역,9828 ,4438 ,3581 ,2825 ,4 ,4 ,32 ,56 ,17 ,1 ,3 ,18 ,2 ,0 
5,여의나루역,5059 ,1837 ,1904 ,3941 ,4 ,4 ,440 ,94 ,23 ,0 ,0 ,21 ,0 ,0 
5,신길역,8103 ,4578 ,3662 ,2710 ,4 ,4 ,66 ,37 ,16 ,3 ,1 ,26 ,2 ,0 
5,광화문역,3910,2125,2057,10590,9,50,504,212,61,9,0,87,9,29
5,을지로4가역,1892,1040,766,16458,0,3,75,40,24,1,0,17,2,0
5,종로3가역,2786,1836,1209,14115,2,10,150,103,35,5,0,44,4,9
5,동대문역사문화공원역,4704,2559,1784,9052,1,6,87,47,26,1,0,24,2,0
5,여의도역,5716 ,2047 ,2091 ,4197 ,4 ,4 ,481 ,109 ,23 ,0 ,0 ,22 ,1 ,1 
6,석계역,14551 ,5810 ,4270 ,1048 ,1 ,3 ,5 ,55 ,19 ,0 ,0 ,8 ,1 ,1 
6,안암역,7908 ,3783 ,1374 ,940 ,20 ,1 ,8 ,29 ,14 ,0 ,0 ,24 ,0 ,0 
6,공덕역,8759 ,3984 ,3741 ,3076 ,5 ,13 ,101 ,136 ,28 ,3 ,1 ,22 ,0 ,0 
6,대흥역,13366 ,5533 ,3700 ,1351 ,21 ,6 ,13 ,35 ,20 ,2 ,0 ,14 ,1 ,0 
