,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
7,대림역,11115 ,5140 ,3532 ,1414 ,3 ,3 ,27 ,51 ,10 ,1 ,0 ,14 ,0 ,0 
7,온수역,6305 ,2566 ,2412 ,281 ,1 ,1 ,3 ,7 ,13 ,1 ,0 ,6 ,0 ,0 
7,천왕역,8907 ,3403 ,3129 ,261 ,8 ,1 ,1 ,20 ,14 ,0 ,0 ,5 ,0 ,0 
7,공릉역,1912 ,1188 ,692 ,6748 ,2 ,2 ,10 ,65 ,15 ,1 ,0 ,13 ,0 ,0 
7,노원역,12095 ,4864 ,4271 ,2461 ,2 ,5 ,90 ,193 ,24 ,0 ,0 ,23 ,0 ,0 
7,마들역,17720 ,6566 ,6545 ,508 ,11 ,1 ,7 ,84 ,12 ,0 ,0 ,6 ,0 ,0 
7,수락산역,13650 ,5237 ,4674 ,848 ,0 ,5 ,4 ,59 ,11 ,2 ,0 ,11 ,0 ,1 
7,중계역,14251 ,5089 ,5098 ,463 ,10 ,0 ,6 ,59 ,17 ,0 ,0 ,5 ,0 ,0 
7,하계역,20638 ,7317 ,7182 ,1143 ,7 ,4 ,8 ,57 ,26 ,3 ,3 ,7 ,3 ,3 
7,남성역,15158 ,6304 ,4232 ,1081 ,4 ,3 ,7 ,70 ,16 ,1 ,0 ,8 ,0 ,1 
7,상도역,13436 ,6297 ,3967 ,891 ,1 ,2 ,4 ,55 ,24 ,0 ,0 ,13 ,0 ,1 
7,신대방삼거리역,15965 ,7145 ,4351 ,1395 ,2 ,6 ,13 ,97 ,21 ,3 ,0 ,19 ,0 ,0 
7,장승배기역,14117 ,6336 ,4041 ,1131 ,3 ,3 ,9 ,75 ,23 ,1 ,0 ,12 ,0 ,1 
7,보라매역,11043 ,5057 ,2601 ,1232 ,7 ,8 ,8 ,56 ,29 ,2 ,0 ,11 ,0 ,0 
7,고속터미널역,7106 ,2378 ,2341 ,3146 ,3 ,5 ,36 ,106 ,22 ,1 ,2 ,19 ,1 ,0 
7,반포역,14399 ,4870 ,4873 ,2608 ,5 ,3 ,28 ,68 ,19 ,1 ,2 ,16 ,1 ,0 
7,내방역,10581 ,3347 ,3349 ,644 ,0 ,1 ,25 ,65 ,14 ,0 ,0 ,9 ,0 ,1 
7,신풍역,14736 ,5788 ,4138 ,685 ,3 ,4 ,4 ,28 ,18 ,1 ,0 ,4 ,0 ,1 
7,면목역,17487,7749,4174,1323,3,2,11,48,10,1,0,11,0,1
7,상봉역,11216,5260,2870,1043,2,1,21,35,10,0,1,12,0,0
7,사가정역,16321,7385,3131,1599,3,3,12,74,11,0,0,13,0,0
7,먹골역,18627,7739,4735,1317,1,4,8,63,16,1,1,13,0,0
7,태릉입구역,10856,4756,3471,1108,3,2,13,38,22,1,0,14,0,0
7,중화역,11530,4786,2606,1219,6,5,6,47,18,2,0,7,0,0
7,도봉산역,5014,1767,1600,213,2,0,0,10,6,0,0,2,0,0
7,이수역,13118 ,5879 ,3905 ,2163 ,0 ,4 ,69 ,158 ,25 ,0 ,1 ,21 ,2 ,2 
8,강동구청역,11791 ,4197 ,3001 ,1639 ,10 ,9 ,18 ,49 ,27 ,3 ,0 ,20 ,0 ,2 
8,암사역,20711 ,8503 ,6164 ,1471 ,3 ,2 ,10 ,89 ,8 ,0 ,0 ,14 ,0 ,2 
8,천호역,13907 ,6938 ,3983 ,2734 ,0 ,2 ,64 ,150 ,20 ,0 ,2 ,22 ,1 ,0 
8,송파역,7142 ,2950 ,2052 ,4322 ,7 ,6 ,15 ,90 ,19 ,3 ,0 ,11 ,0 ,0 
8,가락시장역,6137 ,2451 ,2222 ,4706 ,0 ,2 ,45 ,61 ,12 ,1 ,1 ,9 ,0 ,0 
8,문정역,6251 ,2545 ,1911 ,2440 ,0 ,2 ,18 ,19 ,16 ,1 ,2 ,15 ,2 ,0 
8,석촌역,16435 ,7249 ,5600 ,1335 ,4 ,6 ,26 ,70 ,8 ,2 ,0 ,17 ,0 ,0 
8,몽촌토성역,8889 ,3490 ,3193 ,1577 ,10 ,4 ,40 ,37 ,20 ,1 ,0 ,20 ,0 ,3 
8,잠실역,5472 ,1883 ,1901 ,1456 ,0 ,2 ,99 ,45 ,19 ,0 ,6 ,17 ,1 ,0 
8,장지역,10547 ,5146 ,5004 ,2118 ,5 ,2 ,18 ,36 ,22 ,1 ,2 ,11 ,2 ,0 
9,노량진역,5845 ,4103 ,1416 ,2225 ,1 ,6 ,13 ,21 ,16 ,2 ,0 ,20 ,0 ,0 
9,종합운동장역,2171 ,729 ,734 ,246 ,2 ,2 ,4 ,1 ,4 ,1 ,0 ,10 ,1 ,0 
9,당산역,8936 ,4632 ,3864 ,1076 ,1 ,4 ,49 ,52 ,11 ,2 ,0 ,13 ,0 ,0 
9,동작역,2831 ,897 ,889 ,94 ,0 ,0 ,0 ,1 ,6 ,0 ,0 ,2 ,0 ,0 
9,고속터미널역,7106 ,2378 ,2341 ,3146 ,3 ,5 ,36 ,106 ,22 ,1 ,2 ,19 ,1 ,0 
9,양천향교역,8563 ,4196 ,3892 ,1456 ,4 ,4 ,32 ,33 ,46 ,0 ,0 ,14 ,0 ,2 
9,가양역,18639 ,8591 ,8363 ,1369 ,9 ,3 ,13 ,88 ,34 ,0 ,3 ,11 ,0 ,1 
9,증미역,15110 ,6625 ,5851 ,1636 ,10 ,7 ,13 ,39 ,18 ,2 ,1 ,13 ,0 ,2 
9,공항시장역,12149 ,5627 ,3295 ,1205 ,3 ,3 ,8 ,48 ,15 ,1 ,0 ,13 ,0 ,1 
9,등촌역,14734 ,6302 ,5057 ,1611 ,8 ,2 ,19 ,84 ,21 ,1 ,0 ,12 ,0 ,0 
9,신방화역,14015 ,5426 ,4249 ,354 ,2 ,0 ,0 ,8 ,11 ,0 ,0 ,7 ,0 ,0 
9,노들역,7776 ,3568 ,2226 ,1531 ,2 ,5 ,4 ,13 ,22 ,2 ,0 ,8 ,0 ,1 
9,흑석역,7221 ,3689 ,1999 ,1083 ,6 ,1 ,10 ,49 ,16 ,0 ,0 ,11 ,0 ,0 
9,사평역,13355 ,4311 ,4164 ,262 ,5 ,2 ,3 ,21 ,14 ,0 ,0 ,3 ,0 ,1 
9,구반포역,9500 ,3099 ,3011 ,869 ,8 ,2 ,11 ,26 ,13 ,0 ,0 ,6 ,0 ,0 
9,신반포역,10581 ,3347 ,3349 ,644 ,11 ,6 ,7 ,30 ,16 ,2 ,0 ,5 ,0 ,0 
9,신논현역,7128 ,4123 ,2207 ,3402 ,0 ,4 ,44 ,196 ,35 ,0 ,0 ,34 ,2 ,0 
9,염창역,16071 ,6390 ,5315 ,1261 ,2 ,2 ,15 ,72 ,25 ,0 ,0 ,11 ,0 ,1 
9,선유도역,9452 ,4116 ,3376 ,1977 ,14 ,4 ,30 ,59 ,29 ,0 ,0 ,24 ,0 ,3 
9,샛강역,5313 ,2067 ,1916 ,4007 ,0 ,5 ,447 ,98 ,30 ,0 ,0 ,21 ,0 ,0 
9,국회의사당역,845 ,554 ,558 ,2774 ,0 ,14 ,116 ,38 ,17 ,2 ,0 ,23 ,1 ,1 
9,여의도역,5716 ,2047 ,2091 ,4197 ,4 ,4 ,481 ,109 ,23 ,0 ,0 ,22 ,1 ,1 
