역명,호선명,인구300,가구300,주택300,사업체수300,교육시설300,공공기관300,금융시설300,의료시설300,대중교통300,방범/방재300,백화점/중대형마트300,편의점300,극장/영화관300,도서관/박물관300,인구500,가구500,주택500,사업체수500,교육시설500,공공기관500,금융시설500,의료시설500,대중교통500,방범/방재500,백화점/중대형마트500,편의점500,극장/영화관500,도서관/박물관500,전철역코드,호선,외부코드,사이버스테이션,주소,현장민원소,관광안내소,문화공간,항공권판매,장애인시설,만남의장소,주차장,자전거보관소,무인민원발급기,역무실,수유방,엘레베이터,에스컬레이터,휠체어리프트시설,스피드게이트,화장실,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
사당,2호선,9542,4754,3028,2065,3,4,79,73,21,0,1,30,0,1,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1,226,2,226,226,서울특별시 동작구 남부순환로 지하 2089,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,게이트 외부,495760,1104005,37.47653,126.981685
방배,2호선,8571,3345,2706,1396,3,4,19,67,19,0,0,9,0,0,21825,8320,6618,2253,6,4,34,101,33,0,0,16,0,0,225,2,225,225,서울특별시 서초구 방배로 지하 80,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,게이트 외부,499277,1105368,37.481426,126.997596
서초,2호선,3150,1322,994,2852,1,12,60,45,18,2,0,13,0,1,8904,3785,2890,4587,1,15,110,76,26,2,0,25,2,1,224,2,224,224,서울특별시 서초구 서초대로 지하 233,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,501595,1108160,37.491897,127.007917
교대(법원.검찰청),2호선,6129,2589,1760,4561,3,9,112,173,22,1,0,24,1,0,18391,6875,5678,5948,4,10,158,197,30,1,0,35,1,0,223,2,223,330,서울특별시 서초구 서초대로 지하 294,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,502900,1108655,37.493415,127.01408
강남,2호선,6984,3808,3380,4706,1,4,169,335,39,0,0,49,5,2,14520,7350,6211,7872,4,11,314,419,53,0,0,78,5,2,222,2,222,222,서울특별시 강남구 강남대로 지하 396,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,게이트 내부,506032,1109640,37.497175,127.027926
역삼,2호선,5841,3345,1906,4114,0,3,236,96,12,0,0,40,0,1,14329,8144,4879,6522,0,4,306,131,16,0,0,58,0,2,221,2,221,221,서울특별시 강남구 테헤란로 지하 156,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,게이트 외부,507992,1110605,37.500622,127.036456
선릉,2호선,8905,4590,3713,4612,4,2,269,145,12,0,0,47,0,0,18675,9190,7333,6271,4,5,320,176,19,0,0,65,1,0,220,2,220,220,서울특별시 강남구 테헤란로 지하 340,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,게이트 외부,510742,1111880,37.504503,127.049008
삼성(무역센터),2호선,1905,878,691,3696,3,6,165,95,28,3,2,28,3,1,4593,2130,1684,4761,5,7,206,113,33,4,2,45,4,1,219,2,219,219,서울특별시 강남구 테헤란로 지하 538,N,N,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,게이트 외부,513737,1113012,37.508844,127.06316
종합운동장,2호선,2171,729,734,246,2,2,4,1,4,1,0,10,1,0,10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1,218,2,218,218,서울특별시 송파구 올림픽로 지하 23,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,Y,게이트 외부,516222,1113652,37.510997,127.073642
잠실새내,2호선,17816,6253,5448,1793,0,3,47,155,10,1,0,16,0,1,43532,15720,1373,2394,13,6,52,185,15,2,0,26,0,1,217,2,217,217,서울특별시 송파구 올림픽로 지하 140,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,게이트 외부,518955,1113730,37.511687,127.086162
