,numeric,lon,lat,address
고등학교학생,578,126.984496,37.5426751,"66 sinheung-ro 3ga-gil, yongsan-gu, seoul, south korea"
고등학교학생,1222,127.1388757,37.497266,"18 ogeum-ro 49-gil, songpa-gu, seoul, south korea"
고등학교학생,1252,127.0682006,37.6494211,"553 deongneung-ro, nowon-gu, seoul, south korea"
고등학교학생,904,126.9556929,37.6041771,"20 hongjimun 2-gil, jongno-gu, seoul, south korea"
고등학교학생,1594,127.0045069,37.4794948,"45 myeongdal-ro, seocho-gu, seoul, south korea"
고등학교학생,1253,127.1697736,37.5492763,"61 cheonho-daero 219-gil, sangil-dong, gangdong-gu, seoul, south korea"
고등학교학생,1950,127.0758322,37.6449003,"18 hangeulbiseong-ro 5-gil, nowon-gu, seoul, south korea"
고등학교학생,1539,126.985083,37.4885743,"84 donggwang-ro 12-gil, seocho-gu, seoul, south korea"
고등학교학생,796,126.8322027,37.5000864,"16-26 ori-ro 22na-gil, guro-gu, seoul, south korea"
고등학교학생,1047,126.9510634,37.4734279,"산178-12 cheongnyong-dong, gwanak-gu, seoul, south korea"
고등학교학생,625,126.9671283,37.47676,"26 nambusunhwan-ro 247-gil, gwanak-gu, seoul, south korea"
고등학교학생,1033,127.1026224,37.4903266,"36 gwangpyeong-ro 51-gil, gangnam-gu, seoul, south korea"
고등학교학생,1107,126.9690396,37.6056133,"south korea, seoul, jongno-gu, pyeongchang-dong, 평창문화로 70"
고등학교학생,884,127.0519548,37.6455929,"22 deongneung-ro 66-gil, dobong-gu, seoul, south korea"
고등학교학생,1101,127.0268289,37.655351,"53 sirubong-ro, dobong-gu, seoul, south korea"
고등학교학생,1359,126.9129092,37.6198158,"27 galhyeon-ro 29-gil, galhyeon-dong, eunpyeong-gu, seoul, south korea"
고등학교학생,1508,126.9087107,37.618336,"19 seooreung-ro 20-gil, eunpyeong-gu, seoul, south korea"
고등학교학생,1082,127.0875655,37.5502546,"664 cheonho-daero, gwangjin-gu, seoul, south korea"
고등학교학생,1512,126.9265387,37.505301,"74 daebangdong-gil, dongjak-gu, seoul, south korea"
고등학교학생,508,127.1425564,37.5495007,"396 gucheonmyeon-ro, gangdong-gu, seoul, south korea"
고등학교학생,1034,126.9207947,37.4801177,"39 nambusunhwan-ro 156-gil, gwanak-gu, seoul, south korea"
고등학교학생,1246,127.0226177,37.5945209,"80 dongsomun-ro 26ga-gil, seongbuk-gu, seoul, south korea"
고등학교학생,847,126.9542291,37.5341025,"49 wonhyo-ro 19-gil, yongsan-gu, seoul, south korea"
고등학교학생,1157,126.9922636,37.5018559,"56-7 sinbanpo-ro, seocho-gu, seoul, south korea"
고등학교학생,1173,126.9932754,37.5021818,"56-7 sinbanpo-ro, banpo-dong, seocho-gu, seoul, south korea"
