Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
259	0.0122	0.638	0.325	0.137
260	0.0125	0.639	0.325	0.137
261	0.0127	0.639	0.325	0.137
262	0.0128	0.639	0.325	0.137
263	0.013	0.639	0.325	0.137
264	0.0126	0.638	0.325	0.136
265	0.0127	0.638	0.325	0.137
266	0.013	0.638	0.325	0.137
267	0.0131	0.638	0.325	0.137
268	0.0125	0.638	0.325	0.137
269	0.0131	0.639	0.325	0.137
270	0.013	0.639	0.325	0.136
271	0.0132	0.639	0.325	0.137
272	0.013	0.638	0.325	0.136
273	0.013	0.638	0.325	0.136
274	0.013	0.638	0.325	0.137
275	0.013	0.638	0.325	0.136
276	0.0125	0.639	0.325	0.137
277	0.0126	0.638	0.325	0.137
278	0.0126	0.638	0.325	0.136
279	0.0132	0.638	0.325	0.136
280	0.0132	0.638	0.325	0.136
281	0.0135	0.638	0.325	0.136
282	0.0129	0.638	0.325	0.136
283	0.0134	0.638	0.324	0.136
284	0.0134	0.638	0.325	0.136
285	0.0132	0.637	0.325	0.136
286	0.0132	0.638	0.325	0.136
287	0.0133	0.638	0.325	0.136
288	0.0133	0.637	0.325	0.136
289	0.0135	0.638	0.325	0.136
290	0.014	0.638	0.324	0.136
291	0.0137	0.638	0.325	0.136
292	0.0132	0.637	0.325	0.136
293	0.0144	0.637	0.324	0.136
294	0.0146	0.637	0.324	0.136
295	0.0145	0.637	0.325	0.136
296	0.0143	0.637	0.325	0.136
297	0.0138	0.637	0.325	0.136
298	0.0141	0.637	0.325	0.136
299	0.0142	0.637	0.325	0.136
300	0.0139	0.637	0.325	0.136
301	0.0132	0.637	0.325	0.136
302	0.0132	0.637	0.325	0.136
303	0.0135	0.637	0.324	0.136
304	0.0137	0.637	0.325	0.136
305	0.0137	0.637	0.324	0.136
306	0.0137	0.637	0.324	0.136
307	0.0137	0.637	0.324	0.136
308	0.0137	0.637	0.324	0.136
309	0.0138	0.637	0.324	0.136
310	0.014	0.637	0.325	0.136
311	0.0138	0.637	0.325	0.136
312	0.014	0.637	0.324	0.136
313	0.0144	0.636	0.324	0.135
314	0.0139	0.637	0.324	0.136
315	0.014	0.637	0.324	0.135
316	0.0142	0.636	0.324	0.135
317	0.0141	0.636	0.324	0.135
318	0.0139	0.637	0.324	0.136
319	0.014	0.637	0.324	0.135
320	0.0144	0.637	0.325	0.135
321	0.0143	0.636	0.325	0.135
322	0.0141	0.636	0.325	0.135
323	0.0139	0.636	0.324	0.135
324	0.0136	0.636	0.324	0.136
325	0.0139	0.636	0.324	0.135
326	0.0143	0.636	0.324	0.135
327	0.0144	0.636	0.324	0.135
328	0.014	0.636	0.324	0.135
329	0.0139	0.636	0.324	0.135
330	0.014	0.636	0.324	0.135
331	0.0139	0.636	0.324	0.135
332	0.014	0.636	0.324	0.135
333	0.0136	0.636	0.324	0.135
334	0.0133	0.636	0.324	0.135
335	0.0137	0.636	0.324	0.135
336	0.014	0.636	0.324	0.135
337	0.0136	0.635	0.324	0.135
338	0.0137	0.635	0.324	0.135
339	0.0138	0.635	0.324	0.135
340	0.0137	0.635	0.324	0.135
341	0.0139	0.635	0.324	0.135
342	0.0139	0.635	0.324	0.135
343	0.0136	0.635	0.324	0.134
344	0.0139	0.636	0.323	0.134
345	0.0143	0.635	0.324	0.134
346	0.0146	0.636	0.324	0.134
347	0.0143	0.636	0.324	0.134
348	0.0142	0.635	0.324	0.134
349	0.014	0.635	0.324	0.134
350	0.0138	0.635	0.324	0.135
351	0.0138	0.635	0.324	0.135
352	0.0142	0.636	0.324	0.135
353	0.0144	0.635	0.324	0.135
354	0.0143	0.635	0.324	0.134
355	0.0143	0.635	0.324	0.134
356	0.0144	0.635	0.325	0.135
357	0.0148	0.634	0.324	0.134
358	0.0147	0.634	0.324	0.134
359	0.0147	0.635	0.324	0.135
360	0.0146	0.635	0.324	0.135
361	0.0143	0.635	0.324	0.134
362	0.0146	0.635	0.324	0.134
363	0.0145	0.635	0.324	0.134
364	0.0144	0.635	0.324	0.134
365	0.0141	0.635	0.324	0.135
366	0.0143	0.635	0.324	0.134
367	0.0142	0.635	0.324	0.134
368	0.0138	0.634	0.324	0.134
369	0.0135	0.635	0.324	0.134
370	0.0142	0.635	0.324	0.134
371	0.0144	0.635	0.324	0.134
372	0.0147	0.634	0.324	0.134
373	0.0144	0.634	0.324	0.134
374	0.0147	0.634	0.324	0.134
375	0.0147	0.634	0.324	0.134
376	0.0147	0.634	0.324	0.134
377	0.0145	0.633	0.324	0.134
378	0.0146	0.634	0.324	0.134
379	0.0145	0.634	0.324	0.134
380	0.0144	0.634	0.324	0.134
381	0.0146	0.634	0.324	0.135
382	0.0144	0.634	0.324	0.134
383	0.0143	0.634	0.324	0.134
384	0.0145	0.633	0.324	0.134
385	0.0144	0.634	0.324	0.134
386	0.0147	0.634	0.324	0.134
