Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev
287	0.443	0.245	0.16	0.0498
288	0.444	0.245	0.16	0.0498
289	0.444	0.245	0.16	0.0498
290	0.443	0.245	0.16	0.0498
291	0.444	0.245	0.16	0.0497
292	0.445	0.245	0.16	0.0497
293	0.444	0.245	0.16	0.0497
294	0.445	0.245	0.16	0.0497
295	0.446	0.245	0.16	0.0497
296	0.444	0.245	0.16	0.0497
297	0.444	0.245	0.16	0.0497
298	0.446	0.245	0.16	0.0497
299	0.444	0.245	0.16	0.0497
300	0.444	0.245	0.16	0.0497
301	0.446	0.245	0.16	0.0497
302	0.445	0.245	0.16	0.0497
303	0.445	0.245	0.16	0.0497
304	0.446	0.245	0.16	0.0496
305	0.445	0.246	0.16	0.0497
306	0.445	0.246	0.16	0.0496
307	0.445	0.246	0.16	0.0497
308	0.446	0.245	0.16	0.0496
309	0.445	0.245	0.16	0.0496
310	0.445	0.246	0.16	0.0497
311	0.445	0.245	0.16	0.0495
312	0.445	0.245	0.16	0.0496
313	0.445	0.245	0.16	0.0496
314	0.446	0.245	0.16	0.0496
315	0.445	0.245	0.16	0.0495
316	0.446	0.245	0.16	0.0495
317	0.445	0.245	0.16	0.0494
318	0.445	0.245	0.16	0.0495
319	0.445	0.245	0.16	0.0494
320	0.446	0.245	0.16	0.0495
321	0.446	0.245	0.16	0.0495
322	0.445	0.245	0.16	0.0495
323	0.445	0.245	0.16	0.0495
324	0.445	0.245	0.16	0.0495
325	0.445	0.245	0.16	0.0495
326	0.446	0.245	0.16	0.0494
327	0.446	0.245	0.16	0.0494
328	0.445	0.245	0.16	0.0494
329	0.445	0.245	0.16	0.0494
330	0.445	0.245	0.16	0.0494
331	0.445	0.245	0.16	0.0494
332	0.445	0.245	0.16	0.0494
333	0.446	0.245	0.16	0.0494
334	0.446	0.245	0.16	0.0494
335	0.446	0.245	0.16	0.0494
336	0.446	0.245	0.16	0.0494
337	0.446	0.245	0.16	0.0494
338	0.447	0.245	0.16	0.0494
339	0.447	0.245	0.16	0.0493
340	0.446	0.245	0.16	0.0492
341	0.447	0.245	0.16	0.0493
342	0.446	0.245	0.16	0.0493
343	0.447	0.245	0.16	0.0492
344	0.447	0.245	0.16	0.0494
345	0.447	0.245	0.16	0.0493
346	0.447	0.245	0.16	0.0494
347	0.446	0.245	0.16	0.0494
348	0.447	0.245	0.16	0.0493
349	0.447	0.245	0.16	0.0494
350	0.447	0.245	0.16	0.0493
351	0.447	0.245	0.16	0.0493
352	0.447	0.245	0.16	0.0493
353	0.446	0.245	0.16	0.0493
354	0.446	0.245	0.16	0.0494
355	0.447	0.245	0.16	0.0494
356	0.447	0.245	0.16	0.0493
357	0.447	0.245	0.16	0.0493
358	0.446	0.245	0.16	0.0492
359	0.447	0.245	0.16	0.0492
360	0.447	0.245	0.16	0.0493
361	0.447	0.245	0.16	0.0493
362	0.448	0.246	0.16	0.0494
363	0.447	0.245	0.16	0.0493
364	0.447	0.245	0.16	0.0493
365	0.447	0.245	0.16	0.0493
366	0.447	0.245	0.16	0.0493
367	0.447	0.245	0.16	0.0493
368	0.448	0.245	0.16	0.0493
369	0.448	0.245	0.16	0.0492
370	0.448	0.245	0.16	0.0492
371	0.448	0.245	0.16	0.0492
372	0.448	0.245	0.16	0.0492
373	0.448	0.245	0.16	0.0492
374	0.447	0.245	0.16	0.0492
375	0.447	0.245	0.16	0.0492
376	0.448	0.245	0.16	0.0493
377	0.448	0.245	0.16	0.0491
378	0.448	0.245	0.16	0.0492
379	0.447	0.245	0.16	0.0492
380	0.447	0.245	0.16	0.0491
381	0.447	0.245	0.16	0.0492
382	0.448	0.245	0.16	0.0492
383	0.448	0.245	0.16	0.0492
384	0.448	0.245	0.16	0.0492
385	0.448	0.245	0.16	0.0492
386	0.448	0.245	0.16	0.0491
387	0.448	0.245	0.16	0.0491
388	0.448	0.245	0.16	0.0492
389	0.448	0.245	0.16	0.0491
390	0.448	0.245	0.16	0.049
391	0.448	0.245	0.16	0.049
392	0.447	0.245	0.16	0.049
393	0.448	0.245	0.16	0.0491
394	0.447	0.245	0.16	0.0491
395	0.448	0.245	0.16	0.0492
396	0.448	0.245	0.16	0.0491
397	0.448	0.245	0.16	0.0491
398	0.448	0.245	0.16	0.0491
399	0.449	0.245	0.16	0.0491
400	0.449	0.245	0.16	0.0491
401	0.449	0.245	0.16	0.049
402	0.448	0.245	0.16	0.0491
403	0.448	0.244	0.16	0.049
404	0.448	0.245	0.16	0.049
405	0.449	0.245	0.16	0.049
406	0.449	0.245	0.16	0.049
407	0.449	0.244	0.16	0.0489
408	0.449	0.245	0.16	0.049
409	0.448	0.245	0.16	0.0491
410	0.449	0.245	0.16	0.0491
411	0.449	0.245	0.16	0.0491
412	0.449	0.245	0.16	0.049
413	0.449	0.245	0.16	0.049
414	0.449	0.245	0.16	0.049
415	0.449	0.245	0.16	0.049
416	0.449	0.244	0.16	0.049
417	0.449	0.244	0.16	0.049
418	0.449	0.245	0.16	0.049
419	0.45	0.244	0.16	0.0489
420	0.449	0.244	0.16	0.0488
421	0.449	0.244	0.16	0.0489
422	0.449	0.244	0.16	0.0489
423	0.449	0.244	0.16	0.0488
424	0.449	0.244	0.16	0.049
425	0.45	0.244	0.16	0.0489
426	0.449	0.244	0.16	0.0489
427	0.449	0.244	0.16	0.0489
428	0.449	0.244	0.16	0.0489
429	0.449	0.244	0.16	0.0488
430	0.449	0.244	0.16	0.0489
431	0.449	0.245	0.16	0.0489
432	0.449	0.244	0.16	0.0488
433	0.45	0.244	0.16	0.0489
434	0.449	0.244	0.16	0.0489
435	0.449	0.244	0.16	0.0488
436	0.451	0.244	0.16	0.0488
