iteration	BLstm1_backward_c	BLstm1_backward_r	BLstm1_forward_c	BLstm1_forward_r	BLstm2_backward_c	BLstm2_backward_r	BLstm2_forward_c	BLstm2_forward_r	BLstm3_backward_c	BLstm3_backward_r	BLstm3_forward_c	BLstm3_forward_r
67	4.37519e-05	0.0	1.58762e-05	0.0	0.0	0.0	1.16303e-05	0.0	5.53822e-06	0.0	3.72874e-07	0.0
68	2.13213e-05	0.0	6.37817e-06	0.0	3.64467e-07	0.0	1.82233e-07	0.0	1.82233e-07	0.0	0.0	0.0
69	3.28504e-05	0.0	2.72509e-05	0.0	0.0	0.0	0.0	0.0	4.1063e-06	0.0	0.0	0.0
70	3.97223e-05	0.0	3.58243e-05	0.0	8.90968e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	2.01887e-05	0.0	2.03739e-06	0.0	3.14869e-06	0.0	1.66695e-06	0.0	0.0	0.0	0.0	0.0
72	2.82701e-05	0.0	9.06092e-06	0.0	5.43655e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	3.06326e-05	0.0	1.80843e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67746e-06	0.0
74	3.35465e-05	0.0	1.21338e-05	0.0	4.81785e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	2.03908e-05	0.0	6.61322e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	4.45862e-05	0.0	2.96023e-05	0.0	5.66464e-06	0.0	0.0	0.0	6.0301e-06	0.0	0.0	0.0
77	3.10923e-05	0.0	1.12732e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84525e-07	0.0
78	2.76149e-05	0.0	2.36699e-05	0.0	3.0484e-06	0.0	0.0	0.0	3.94498e-06	0.0	0.0	0.0
79	2.4516e-05	0.0	2.39712e-05	0.0	1.12592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	1.30429e-05	0.0	6.96815e-06	0.0	0.0	0.0	0.0	0.0	3.57341e-07	0.0	0.0	0.0
81	1.93978e-05	0.0	2.25384e-05	0.0	0.0	0.0	0.0	0.0	1.29319e-06	0.0	0.0	0.0
82	3.08267e-05	0.0	1.05796e-05	0.0	2.9185e-06	0.0	1.45925e-06	0.0	0.0	0.0	1.47384e-06	0.0
83	2.3319e-05	0.0	1.23556e-05	0.0	0.0	0.0	1.04414e-06	0.0	1.39218e-06	0.0	1.23627e-06	0.0
84	5.14388e-05	0.0	1.33223e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	4.79409e-05	0.0	1.77962e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10042e-06	0.0
86	1.53077e-05	0.0	5.45447e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	3.07315e-05	0.0	2.21267e-05	0.0	1.05365e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	1.62949e-05	0.0	2.06403e-05	0.0	4.52637e-06	0.0	0.0	0.0	1.26738e-06	0.0	9.14285e-07	0.0
89	2.75611e-05	0.0	2.54678e-05	0.0	5.23311e-07	0.0	0.0	0.0	3.48874e-06	0.0	1.41652e-06	0.0
90	5.0337e-05	0.0	4.284e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	3.77462e-05	0.0	2.8716e-05	0.0	4.6957e-06	0.0	0.0	0.0	0.0	0.0	8.57336e-06	0.0
92	1.79938e-05	0.0	6.28911e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83749e-06	0.0
93	5.67638e-05	0.0	3.81354e-05	0.0	6.50235e-06	0.0	0.0	0.0	2.98757e-06	0.0	5.88678e-06	0.0
94	3.44052e-05	0.0	2.42441e-05	0.0	5.34796e-07	0.0	8.91326e-07	0.0	0.0	0.0	2.70063e-06	0.0
95	4.80164e-05	0.0	3.10589e-05	0.0	3.56999e-07	0.0	0.0	0.0	4.46249e-06	0.0	1.08713e-06	0.0
96	3.89514e-05	0.0	4.09168e-05	0.0	1.07206e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	4.38409e-05	0.0	2.09282e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	4.91834e-05	0.0	4.41647e-05	0.0	4.34955e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	2.64005e-05	0.0	1.76586e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	3.57912e-05	0.0	5.36004e-06	0.0	0.0	0.0	1.72904e-07	0.0	1.72904e-07	0.0	0.0	0.0
101	3.98145e-05	0.0	2.60669e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26177e-06	0.0
102	3.66875e-05	0.0	1.58979e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19147e-06	0.0
