키,업종,상호,주소,도로명주소,행정 시,행정 구,행정 동,객실수,비고
BE_LiST20-0368,외국인관광도시민박업,스위트홈,,"서울특별시 마포구 독막로7길 20, 5층 (서교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0369,외국인관광도시민박업,홍대 레오 게스트하우스,,서울특별시 마포구 양화로7안길 36-4 (서교동),서울특별시,마포구,서교동,11,
BE_LiST20-0370,외국인관광도시민박업,zzzip게스트하우스,,"서울특별시 마포구 독막로3길 24-8, 2층 (서교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0371,외국인관광도시민박업,서울맨션,,"서울특별시 마포구 양화로23길 4-21, 1층 (동교동)",서울특별시,마포구,서교동,13,
BE_LiST20-0372,외국인관광도시민박업,BLU Guesthouse Hong Dae,,"서울특별시 마포구 동교로 140-8, 2층 (서교동)",서울특별시,마포구,서교동,4,
BE_LiST20-0373,외국인관광도시민박업,B Guesthouse,,"서울특별시 마포구 와우산로17길 19-9, 4층 (서교동)",서울특별시,마포구,서교동,7,
BE_LiST20-0374,외국인관광도시민박업,펌킨 게스트하우스,,"서울특별시 마포구 홍익로 3-13, 2층 (서교동)",서울특별시,마포구,서교동,7,
BE_LiST20-0375,외국인관광도시민박업,친구 게스트하우스,,"서울특별시 마포구 동교로 153-6, 2층 (서교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0376,외국인관광도시민박업,Bounce Guesthouse,,"서울특별시 마포구 동교로27길 93-9, 3층 (연남동)",서울특별시,마포구,연남동,3,
BE_LiST20-0377,외국인관광도시민박업,DW Design Residence,,"서울특별시 마포구 동교로25길 35, 2층 (동교동)",서울특별시,마포구,서교동,3,
BE_LiST20-0378,외국인관광도시민박업,오렌지 게스트하우스,,서울특별시 마포구 동교로 148-12 (서교동),서울특별시,마포구,서교동,8,
BE_LiST20-0379,외국인관광도시민박업,88 Housetel,,"서울특별시 마포구 와우산로29라길 22-3, 2층 (서교동)",서울특별시,마포구,서교동,4,
BE_LiST20-0380,외국인관광도시민박업,아이하우스 친친,,"서울특별시 마포구 연남로7길 24-11, 2층 (연남동)",서울특별시,마포구,연남동,4,
BE_LiST20-0381,외국인관광도시민박업,골드게스트하우스,,서울특별시 마포구 잔다리로3길 23 (서교동),서울특별시,마포구,서교동,5,
BE_LiST20-0382,외국인관광도시민박업,한강 게스트하우스,,"서울특별시 마포구 마포대로4길 120-39, 지하1층 (마포동)",서울특별시,마포구,용강동,1,
BE_LiST20-0383,외국인관광도시민박업,바우하우스,,서울특별시 마포구 동교로 262-11 (연남동),서울특별시,마포구,연남동,4,
BE_LiST20-0384,외국인관광도시민박업,Loft 8,,"서울특별시 마포구 연희로 27, 3층 (동교동)",서울특별시,마포구,서교동,5,
BE_LiST20-0385,외국인관광도시민박업,파크애비뉴,,"서울특별시 마포구 성미산로26길 32-2, 2층 (연남동)",서울특별시,마포구,연남동,4,
BE_LiST20-0386,외국인관광도시민박업,텐달러,,서울특별시 마포구 동교로19길 22 (서교동),서울특별시,마포구,서교동,5,
BE_LiST20-0387,외국인관광도시민박업,우리서울 게스트하우스,,서울특별시 마포구 연남로 51-5 (연남동),서울특별시,마포구,연남동,6,
BE_LiST20-0388,외국인관광도시민박업,파크애비뉴2,,"서울특별시 마포구 성미산로26길 32-2, 3,4층 (연남동)",서울특별시,마포구,연남동,6,
BE_LiST20-0389,외국인관광도시민박업,케이둡9,,"서울특별시 마포구 연남로3길 3, 1~2층 (연남동)",서울특별시,마포구,연남동,5,
BE_LiST20-0390,외국인관광도시민박업,모닥불게스트하우스,,"서울특별시 마포구 동교로39길 4-7, 1층 (연남동)",서울특별시,마포구,연남동,2,
BE_LiST20-0391,외국인관광도시민박업,올라서울,,"서울특별시 마포구 성미산로32길 51, 301호 (연남동)",서울특별시,마포구,연남동,3,
