호선,역,인구_100,가구_100,주택_100,사업체수_100,교육시설_100,공공기관_100,금융시설_100,의료시설_100,대중교통_100,방범.방재_100,백화점.중대형마트_100,편의점_100,극장.영화관_100,도서관.박물관_100,인구_300,가구_300,주택_300,사업체수_300,교육시설_300,공공기관_300,금융시설_300,의료시설_300,대중교통_300,방범.방재_300,백화점.중대형마트_300,편의점_300,극장.영화관_300,도서관.박물관_300,인구_500,가구_500,주택_500,사업체수_500,교육시설_500,공공기관_500,금융시설_500,의료시설_500,대중교통_500,방범.방재_500,백화점.중대형마트_500,편의점_500,극장.영화관_500,도서관.박물관_500
5,개화산,2831,1159,1093,175,1,0,1,9,3,0,0,5,0,0,11965,4871,4521,943,7,6,4,40,40,3,2,14,1,2,22249,8802,7345,1738,10,8,10,80,49,4,2,19,1,3
5,김포공항,16,5,7,601,1,10,5,2,63,4,2,7,1,0,16,5,7,601,1,10,5,2,63,4,2,7,1,0,16,5,7,601,1,10,5,2,63,4,2,7,1,0
5,송정,2217,1100,685,326,1,1,5,15,8,0,0,6,0,0,9729,4711,2740,984,4,3,7,31,24,1,0,12,0,1,21491,9994,5962,2267,7,13,14,63,92,5,2,24,1,2
5,마곡,430,189,111,34,3,0,0,1,14,0,0,0,0,0,4661,1832,1601,318,4,2,3,13,38,1,0,3,0,0,12858,4393,4175,910,6,3,5,17,50,1,0,5,0,0
5,발산,2170,993,880,1226,4,2,29,47,42,1,1,12,0,1,5335,2019,1908,1308,4,2,30,58,42,1,1,12,0,1,15835,5607,5220,1692,9,4,32,74,49,1,1,15,0,2
5,우장산,4876,1596,1424,563,1,0,15,52,7,0,0,5,0,0,20996,6846,6126,1119,8,0,18,86,11,0,0,9,0,0,41564,14030,12281,1681,16,6,23,108,22,1,0,20,1,5
5,화곡,3090,1529,1061,624,1,1,25,64,14,0,0,10,0,0,15206,6792,4767,1419,2,2,30,109,16,0,0,14,0,0,38023,15739,11563,2357,6,6,37,144,24,2,0,26,0,2
5,까치산,4351,2055,1646,578,0,0,10,55,7,0,0,7,0,0,18312,8191,6226,1362,2,3,12,92,14,0,0,18,0,2,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2
5,신정,4069,1760,1099,174,1,0,0,5,3,0,0,3,0,0,19600,8248,5270,1102,3,1,3,40,7,0,0,12,0,0,33759,14094,9122,2551,8,3,10,100,20,0,0,23,0,1
5,목동,3520,1335,1071,554,1,1,13,64,7,1,0,3,0,0,13245,4977,3846,1374,6,0,20,88,10,0,0,14,0,0,32234,12006,9364,2640,11,6,29,132,22,1,1,25,1,0
5,오목교,3589,1238,995,1672,0,1,28,71,8,0,3,13,2,2,14428,4855,4486,2452,3,2,51,100,16,0,3,19,2,2,32952,11213,10316,3435,8,2,74,129,24,0,4,30,2,2
5,양평,2418,1031,813,247,0,0,6,7,3,0,0,3,0,0,9828,4438,3581,2825,4,4,32,56,17,1,3,18,2,0,16991,7373,6338,3622,6,5,45,66,27,1,4,21,2,0
