호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범.방재,백화점.중대형마트,편의점,극장.영화관,도서관.박물관
4,한성대입구,26147,11631,7292,2097,14,7,16,100,44,2,0,26,23,7
4,혜화,15785,7485,4863,2347,12,12,20,64,39,3,0,25,62,10
4,동대문,18314,8526,5923,25707,12,16,96,171,45,8,0,46,4,2
4,동대문역사문화공원,12114,6262,4059,20793,7,14,116,71,33,7,0,39,4,1
4,충무로,6827,3293,2318,14574,21,19,387,174,31,7,0,77,14,2
4,명동,5093,2455,1779,17360,11,19,463,201,45,8,5,72,11,2
4,회현,8153,3997,3008,16896,4,18,632,238,63,5,5,76,7,3
4,서울역,17824,8943,6175,3850,2,12,205,102,37,3,0,47,0,2
4,숙대입구 ,16371,8106,4583,2432,10,6,61,67,32,2,0,39,0,1
4,삼각지,11084,5320,5031,4179,3,13,45,52,32,1,1,24,1,2
4,신용산,7538,3871,3565,4471,3,17,53,45,32,4,3,23,2,1
4,이촌,20575,7575,7880,1142,9,10,34,62,25,2,0,15,0,2
4,동작,3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0
4,총신대입구,36068,14953,9818,3448,5,5,72,213,42,0,1,32,2,3
4,사당,27593,12917,7809,3030,5,10,103,116,36,4,1,38,0,1
4,남태령,4124,1644,1115,339,2,1,1,10,15,0,1,3,0,0
5,방화,25404,10156,9356,1233,12,6,9,79,27,2,0,12,0,3
5,개화산,22249,8802,7345,1738,10,8,10,80,49,4,2,19,1,3
5,김포공항,16,5,7,601,1,10,5,2,63,4,2,7,1,0
5,송정,21491,9994,5962,2267,7,13,14,63,92,5,2,24,1,2
5,마곡,12858,4393,4175,910,6,3,5,17,50,1,0,5,0,0
5,발산,15835,5607,5220,1692,9,4,32,74,49,1,1,15,0,2
5,우장산,41564,14030,12281,1681,16,6,23,108,22,1,0,20,1,5
5,화곡,38023,15739,11563,2357,6,6,37,144,24,2,0,26,0,2
5,까치산,45413,19667,15471,2088,3,5,14,124,19,1,0,30,0,2
5,신정,33759,14094,9122,2551,8,3,10,100,20,0,0,23,0,1
5,목동,32234,12006,9364,2640,11,6,29,132,22,1,1,25,1,0
5,오목교,32952,11213,10316,3435,8,2,74,129,24,0,4,30,2,2
5,양평,16991,7373,6338,3622,6,5,45,66,27,1,4,21,2,0
5,영등포구청,24757,10533,7789,4078,6,8,101,78,34,1,1,24,0,2
5,영등포시장,21487,11496,8581,6605,5,9,121,142,37,4,3,39,3,3
5,신길,16542,7946,6181,3499,9,7,87,57,23,4,1,36,2,0
5,여의도,8717,3370,3427,6959,4,13,599,145,37,1,1,46,2,1
5,여의나루,8752,3364,3444,6235,5,11,533,122,35,1,0,39,2,1
